xi 0

+1.462285	+0.647103i	-0.685954	+0.743427i	+0.321370	+0.645745i	+0.851971	+1.350703i	-0.052676	+0.211232i	+0.402277	+0.030355i	-1.036387	+0.361457i	+0.373180	-0.397505i	+0.142701	-0.093473i	+0.062956	-0.366023i	+0.502016	-0.766556i	+0.673298	+0.820858i	-0.455223	-0.102442i	-0.439833	+0.521684i	-0.003976	-0.718404i	-0.576218	-0.293432i	-0.085163	+0.047399i	+0.214500	-0.608070i	-0.335497	-0.705311i	-1.218655	+0.544662i	-1.059271	+1.100599i	+0.552848	+0.216613i	-0.623604	+0.103424i	+0.561209	-0.860696i	+0.574512	-0.695318i	-0.172438	+0.334055i	-0.590559	-0.945002i	-0.783609	-0.477173i	-0.386910	-0.871750i	+0.293849	-1.300488i	-0.194261	+0.463326i	-0.287197	-0.470169i	
-0.679636	-0.822325i	+0.494446	-1.168536i	-0.583539	-0.267431i	-0.196394	+0.823227i	+0.871916	-0.142440i	-0.493196	-0.875065i	-0.564786	-0.807403i	-0.480961	+0.826847i	+1.439526	-0.229496i	+0.294528	+1.170234i	+0.324714	-0.382333i	-0.635113	+0.056926i	+0.319227	-0.346522i	-1.749053	+0.930928i	+0.394753	+0.356179i	+0.604326	-0.436959i	+0.903650	-0.202697i	+0.390656	-0.313950i	-0.662069	+0.908785i	-0.432005	+0.514091i	-0.346722	+0.034020i	-0.450006	+0.543897i	+1.462364	-0.363703i	+0.485661	-0.179427i	-0.513323	-1.093001i	-0.367723	+0.224509i	+0.005543	+0.774558i	-0.692625	+0.503295i	-0.928105	+0.244261i	-1.439001	+0.943671i	+0.611547	-0.385138i	+0.211121	-0.381519i	
+0.092266	+0.049223i	-0.648729	-1.757993i	-0.276713	-0.614275i	-0.233381	+1.608138i	-0.214588	-0.601255i	+0.048041	+0.233142i	+0.286839	+1.056668i	-0.564858	-0.052144i	-0.675776	-1.236933i	+1.030013	-0.869784i	+1.180353	+1.024430i	+1.086148	-0.443611i	-0.058458	-0.733835i	+0.659648	+0.113904i	+0.058805	+1.114246i	+0.851574	+0.161658i	-0.591512	-0.194426i	+1.302932	-0.229621i	+0.271615	-0.000102i	+2.356052	+0.355977i	-0.063134	+0.236920i	-0.026818	+1.380080i	+0.726709	+0.701535i	-0.742867	+0.744618i	+0.508752	+1.773791i	-0.295864	+1.032258i	+0.708041	-0.104683i	-0.448334	+0.833159i	-0.146742	-0.288607i	+1.720269	+0.659644i	-1.149910	+0.485380i	-0.009049	-2.176967i	
-0.297493	+0.491394i	+0.058178	-0.975062i	-0.060722	+0.344432i	-0.441122	+0.671234i	+0.969005	-0.098233i	+0.188141	-0.596510i	-0.604172	+0.180491i	+0.451307	-0.004227i	+1.018609	-0.430029i	-1.155643	+0.019279i	-0.356803	-1.092119i	+0.967726	-0.842761i	-0.190510	+0.055418i	-0.121629	-0.160625i	+0.521434	-0.806632i	-0.395997	-1.715249i	-0.922386	+0.065082i	+0.674081	+1.128474i	+0.425559	+0.809967i	-0.393159	+0.554068i	+0.836704	+0.386237i	+0.161137	-0.580590i	-0.011577	+0.339813i	-0.892177	-1.338658i	+0.040609	-0.019135i	+0.419518	+0.149218i	+1.646730	+0.376792i	+0.158624	-0.371333i	-0.452907	-0.997380i	+0.249829	-0.588187i	+0.637062	+0.456575i	+0.349043	+0.395036i	
-0.836413	+0.731822i	+0.423489	-0.038505i	-1.658483	-0.207207i	+1.042246	+0.115161i	-0.411245	-1.276454i	+0.373432	+0.000891i	-0.405276	+0.473084i	+0.551077	-0.395570i	-0.641091	-0.150613i	+0.114499	+0.191179i	-0.344594	+1.056315i	+1.721746	-0.154975i	+0.053648	+0.187269i	+0.594441	-0.191058i	+1.334181	-0.983026i	-0.700562	+1.344575i	-0.829752	-0.164143i	+0.836098	+0.669935i	-0.035818	+0.352238i	+1.177745	-0.016380i	-1.653606	-0.125109i	+1.597556	+0.359807i	+1.018335	+0.097114i	+0.261411	-0.712870i	+0.082814	+0.343303i	-1.495180	+0.529172i	-0.560854	-0.877922i	-1.184162	-0.180578i	+0.361005	-0.772146i	-1.662069	-1.055110i	+0.525122	+0.592105i	+0.463218	-0.343335i	
-0.230194	+0.494244i	-0.438531	+0.605423i	+0.879253	-0.022844i	-0.537577	+0.937777i	+0.068587	-0.319880i	+1.231747	+0.590620i	-0.401946	-0.610734i	+0.578119	+0.582546i	-0.502833	-0.535116i	-0.598585	+0.732315i	+1.063995	-0.490412i	+0.793011	-1.135069i	+0.069627	-0.112077i	-0.644342	+0.102582i	+0.570743	-0.094624i	+0.920851	-0.028562i	+0.760189	+0.493079i	+1.132699	+0.021395i	+0.046097	+0.097837i	-0.025602	+0.029639i	-0.234659	+0.437892i	-0.375497	+1.060585i	-0.726087	-0.768060i	-0.336462	+1.393501i	+0.778923	+0.525674i	-0.437418	+0.302448i	+0.471824	-0.263532i	-0.952596	-0.685829i	-0.035412	+1.090833i	-0.423866	+0.401674i	+0.894451	-0.632947i	-0.045491	+1.299432i	
+0.647641	-0.084236i	-0.575754	+1.571885i	-0.288971	+0.778391i	-0.898558	+0.858571i	+0.207253	-0.461930i	+0.000884	-0.113010i	+1.018169	+0.065464i	-0.544330	-0.788975i	+0.566203	-0.246653i	-0.185392	+0.376985i	+1.245010	-0.177789i	+0.884891	-0.868267i	+0.822398	+0.757311i	-1.815247	-0.080272i	+0.738851	-0.635933i	-0.692411	+0.162526i	-0.051914	+0.784542i	+0.156475	-0.224045i	-0.540219	+0.427887i	+0.346500	-1.228423i	+1.012760	+0.561444i	+0.047207	-0.709969i	-0.540009	+0.967243i	+0.464852	+0.847195i	+0.326083	+0.194309i	+1.252555	-0.206975i	-0.403862	+0.771882i	+0.026305	-0.224370i	+0.229425	-0.046080i	-0.773395	+0.152086i	+0.648234	+0.651442i	-0.256849	+0.360186i	
+0.389850	+0.332843i	+0.759737	-0.764117i	-0.925861	-0.425040i	+0.776204	-0.104554i	+0.189475	-0.066470i	-0.338155	+0.590154i	+1.082858	+1.097550i	+0.034879	-0.469998i	-0.495710	+0.876431i	-0.340448	-0.359085i	+0.372383	+0.512059i	-0.238232	-0.475762i	+0.470795	+0.241854i	-0.297136	+0.640426i	-1.663047	-0.814350i	-0.312076	-0.240088i	+0.041509	-0.029350i	+1.106060	+0.298811i	+0.276276	-0.011591i	+0.270199	+0.004425i	+0.087873	+0.579381i	+0.760843	-0.061837i	+0.497257	+0.182997i	-0.019227	+0.976805i	+0.279900	+0.130352i	+0.391356	-0.045568i	-1.463281	+1.179453i	+0.985762	+0.626439i	-0.714772	+0.074331i	-0.749873	+0.772708i	+0.713829	-0.552471i	-0.088319	+0.825276i	
+0.128805	-0.199185i	+0.289533	+0.091215i	-1.443491	-0.692744i	+0.374151	+0.708867i	-0.445211	+0.569954i	+0.393466	-0.701916i	+1.177608	-0.431930i	+0.429539	+0.016824i	+0.659392	-0.764263i	-0.372017	-0.815959i	-0.641131	-0.075168i	-0.540444	-1.134495i	-0.336811	+0.412701i	-0.044020	-0.066869i	-0.426457	+1.164031i	-1.155012	-0.129001i	-1.016342	-1.012414i	-0.671811	+0.420995i	-0.382508	+0.740710i	+0.148373	-0.335203i	+0.662133	-0.879864i	-0.753421	+0.705065i	+0.393574	+0.834660i	-0.348606	-0.097263i	-2.046811	-0.559915i	+1.445124	+0.240341i	-0.411192	-0.328428i	+0.221859	+1.108251i	-0.864884	-0.018661i	-0.614461	-0.359632i	+0.682991	-0.405806i	+1.418890	-0.027957i	
+0.430763	+0.922774i	-0.778346	+0.197660i	-0.164138	-0.637558i	-0.368359	+0.151508i	-0.741920	+0.969494i	+0.319348	+0.401834i	-0.482252	-0.678708i	-0.226408	+0.368463i	+1.042437	+0.626252i	-1.150344	-0.164192i	+0.452943	-0.794208i	-0.020835	+0.056744i	-1.120558	-0.166699i	+1.550682	+0.285422i	+0.850352	-0.304838i	+0.100294	-0.219305i	-0.644634	-0.198920i	-0.705659	-0.226056i	-0.988544	+0.018887i	+0.429376	-0.860595i	+0.333691	+0.642323i	+0.142558	+1.664955i	+0.424723	-0.393247i	-0.800574	-0.274807i	-0.313184	-0.837851i	-2.014916	+0.407554i	-0.650124	+0.515281i	-0.097597	+0.458095i	+0.787422	+0.663880i	+0.660560	+0.474935i	+0.431268	+1.283696i	+0.200630	+0.062878i	
